tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
Param.pH1;pH-река;FLOAT (4 bytes);R;ИНР;0;0;;0.1, 2, , 0, 100, , 
Param.pH2;pH-Смеситель;FLOAT (4 bytes);R;ИНР;0;4;;0.1, 2, , 0, 100, , 
Param.pH3;pH-РЧВ;FLOAT (4 bytes);R;ИНР;0;8;;0.1, 2, , 0, 100, , 
Param.sc100;Мутность-РЧВ;FLOAT (4 bytes);R;ИНР;0;12;;0.05769231, 0, , 0, 100, , 
Param.Cl1;Cl (своб.)-РЧВ;FLOAT (4 bytes);R;ИНР;0;16;;0.002, 0, , 0, 100, , 
Param.Cl2;Cl (связ.)-РЧВ;FLOAT (4 bytes);R;ИНР;0;20;;1, 0, , 0, 100, , 
Param.Al;Al (остат.)-РЧВ;FLOAT (4 bytes);R;ИНР;0;24;;1, 0, , 0, 100, , 
Param.Reserv;Резерв;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
Param.t_reka;Темп Река;FLOAT (4 bytes);R;ИНР;0;60;;1, 0, , 0, 100, , 
Param.t1;температура река;FLOAT (4 bytes);R;ИНР;0;60;;1, 0, , 0, 100, , 
Param.t_RCHV;Темп РЧВ;FLOAT (4 bytes);R;ИНР;0;64;;1, 0, , 0, 100, , 
Param.t2;температура РЧВ;FLOAT (4 bytes);R;ИНР;0;64;;1, 0, , 0, 100, , 
Param.Reserv_t3;Резерв t3;FLOAT (4 bytes);R;ИНР;0;68;;1, 0, , 0, 100, , 
Param.Reserv_t4;Резерв t4;FLOAT (4 bytes);R;ИНР;0;72;;1, 0, , 0, 100, , 
Param.t1.t1(HH);температура река за текущий час;FLOAT (4 bytes);R;ИНР;1;68;;1, 0, , , , , 
Param.t1.t1(HH-1);температура река за прошедший час;FLOAT (4 bytes);R;ИНР;1;72;;1, 0, , , , , 
Param.t2.t2(HH);температура РЧВ за текущий час;FLOAT (4 bytes);R;ИНР;1;76;;1, 0, , , , , 
Param.t2.t2(HH-1);температура РЧВ за прошедший час;FLOAT (4 bytes);R;ИНР;1;80;;1, 0, , , , , 
Param.Timer;Таймер/календар;date;R;TIME;;0;;, , , , , , 
Param.Timer;Таймер/календар;date;W;TIME;;0;;, , , , , , 
